Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Ceskoslovenska oftalmologie	Cesk Oftalmol	Cesk. Oftalmol.
Estudios publicos	Estud Publicos	Estud. Publicos.
Economies et societes	Econ Soc (Paris)	Econ. Soc. (Paris).
Giornale di igiene e medicina preventiva	G Ig Med Prev	G. Ig. Med. Prev.
Molecular syndromology	Mol Syndromol	Mol. Syndromol.
Ontogenez	Ontogenez	Ontogenez.
Indicator (Minnesota Mining and Manfuacturing Company)	Indicator	Indicator.
Dghs Chronicle	DGHS Chron	DGHS. Chron.
Bernoulli : official journal of the Bernoulli Society for Mathematical Statistics and Probability	Bernoulli (Andover)	Bernoulli. (Andover).
Media Asia	Media Asia	Media. Asia.
Practice innovations (Washington, D.C.)	Pract Innov (Wash D C)	Pract. Innov. (Wash. D. C).
L'Afrique et l'Asie modernes	Afr Asie Mod	Afr. Asie. Mod.
The open toxinology journal	Open Toxinology J	Open. Toxinology. J.
Revista Odontologica	Rev Odontol (La Paz)	Rev. Odontol. (La. Paz).
Hamatologie und Bluttransfusion	Hamatol Bluttransfus	Hamatol. Bluttransfus.
Journal of radiation oncology	J Radiat Oncol	J. Radiat. Oncol.
The Cochrane database of systematic reviews	Cochrane Database Syst Rev	Cochrane. Database. Syst. Rev.
Middle East African journal of ophthalmology	Middle East Afr J Ophthalmol	Middle. East. Afr. J. Ophthalmol.
International journal of parallel programming	Int J Parallel Program	Int. J. Parallel. Program.
Montfort : Vierteljahresschrift fur Geschichte und Gegenwartskunde Vorarlbergs	Montfort	Montfort.
Computational methods in applied sciences (Springer)	Comput Methods Appl Sci	Comput. Methods. Appl. Sci.
Clinical endocrinology	Clin Endocrinol (Oxf)	Clin. Endocrinol. (Oxf).
International journal of scientific and engineering research	Int J Sci Eng Res	Int. J. Sci. Eng. Res.
Journal of solid tumors	J Solid Tumors	J. Solid. Tumors.
The Bulletin of zoological nomenclature	Bull Zool Nomencl	Bull. Zool. Nomencl.
Infusionstherapie und klinische Ernahrung. Sonderheft	Infusionsther Klin Ernahr Sonderh	Infusionsther. Klin. Ernahr. Sonderh.
Corrosion science		.
International journal of plant sciences	Int J Plant Sci	Int. J. Plant. Sci.
Journal of orthopaedic translation	J Orthop Translat	J. Orthop. Translat.
Collected papers of the Mayo Clinic and the Mayo Foundation. Mayo Clinic	Collect Papers Mayo Clinic Mayo Found	Collect. Papers. Mayo. Clinic. Mayo. Found.
Standards in genomic sciences	Stand Genomic Sci	Stand. Genomic. Sci.
Free inquiry (Buffalo, N.Y.)	Free Inq	Free. Inq.
The Eugenics review	Eugen Rev	Eugen. Rev.
Continuum (Mount Lawley, W.A.)	Continuum (Mount Lawley)	Continuum. (Mount. Lawley).
RNABC news	RNABC News	RNABC. News.
Population reports. Series G, Prostaglandins	Popul Rep G	Popul. Rep. G.
Revue internationale d'histoire de la psychanalyse	Rev Int Hist Psychanal	Rev. Int. Hist. Psychanal.
Counselling psychology quarterly	Couns Psychol Q	Couns. Psychol. Q.
The great concern	Gt Concern	Gt. Concern.
Chicago bar record	Chicago Bar Rec	Chicago. Bar. Rec.
Critica; revista hispanoamericana de filosofia	Critica	Critica.
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery	Otolaryngol Head Neck Surg	Otolaryngol. Head. Neck. Surg.
Khigiena i zdraveopazvane	Hig Zdraveopaz	Hig. Zdraveopaz.
ZDM : the international journal on mathematics education	ZDM	ZDM.
Cognitive sciences	Cogn Sci (Hauppauge)	Cogn. Sci. (Hauppauge).
Seminars in speech and language	Semin Speech Lang	Semin. Speech. Lang.
London journal of medicine	Lond J Med	Lond. J. Med.
Majallat al-Diwan al-Qawmi lil-Usrah wa-al-'Umran al-Bashari	Majallat Aldiwan Alqawmi Lilusrah Waal Umran lbashari	Majallat. Aldiwan. Alqawmi. Lilusrah. Waal. Umran. lbashari.
Journal of neuroinfectious diseases	J Neuroinfect Dis	J. Neuroinfect. Dis.
Fact sheets on Sweden	Fact Sheets Swed	Fact. Sheets. Swed.
Origins	Origins	Origins.
Clinical image-based procedures : from planning to intervention : international workshop, CLIP ..., held in conjunction with MICCAI ... : revised selected papers. CLIP (Workshop)	Clin Image Based Proced	Clin. Image. Based. Proced.
Journal of knot theory and its ramifications	J Knot Theory Ramif	J. Knot. Theory. Ramif.
Acta chemica Scandinavica (Copenhagen, Denmark : 1989)	Acta Chem Scand	Acta. Chem. Scand.
BMC public health	BMC Public Health	BMC. Public. Health.
Bulletin of peace proposals	Bull Peace Propos	Bull. Peace. Propos.
Ethnos	Ethnos	Ethnos.
Geo-Eco-Trop	Geo Eco Trop	Geo. Eco. Trop.
Suid-Afrikaanse tydskrif vir strafreg en kriminologie = South African journal of criminal law and criminology	S Afr Tydskr Strafr Kriminol	S. Afr. Tydskr. Strafr. Kriminol.
Session laws of the State of Minnesota. Minnesota	Sess Laws State Minn Minn	Sess. Laws. State. Minn. Minn.
The open virology journal	Open Virol J	Open. Virol. J.
Health promotion international	Health Promot Int	Health. Promot. Int.
Human-animal interaction bulletin	Hum Anim Interact Bull	Hum. Anim. Interact. Bull.
Nordic journal of Soviet and East European studies	Nord J Sov East Eur Stud	Nord. J. Sov. East. Eur. Stud.
Revista de investigacion en salud publica	Rev Invest Salud Publica	Rev. Invest. Salud. Publica.
European journal of disorders of communication : the journal of the College of Speech and Language Therapists, London	Eur J Disord Commun	Eur. J. Disord. Commun.
Santa Clara law review	Santa Clara Law Rev	Santa. Clara. Law. Rev.
Journal of individual differences	J Individ Differ	J. Individ. Differ.
Harvard civil rights-civil liberties law review	Harv Civ Rights-Civil Lib Law Rev	Harv. Civ. Rights-Civil. Lib. Law. Rev.
Mentalis	Mentalis	Mentalis.
Perspectives in plant ecology, evolution and systematics		.
Ore geology reviews	Ore Geol Rev	Ore. Geol. Rev.
Comparative biochemistry and physiology. Pharmacology, toxicology and endocrinology	Comp Biochem Physiol Pharmacol Toxicol Endocrinol	Comp. Biochem. Physiol. Pharmacol. Toxicol. Endocrinol.
Ecology of freshwater fish	Ecol Freshw Fish	Ecol. Freshw. Fish.
Higiene sanitaria	Hig Sanit	Hig. Sanit.
Current hematology reports	Curr Hematol Rep	Curr. Hematol. Rep.
Journal of youth and adolescence	J Youth Adolesc	J. Youth. Adolesc.
Behavioral sciences (Basel, Switzerland)	Behav Sci (Basel)	Behav. Sci. (Basel).
BioDiscovery	Biodiscovery	Biodiscovery.
Cancer imaging : the official publication of the International Cancer Imaging Society	Cancer Imaging	Cancer. Imaging.
International journal of self help & self care	Int J Self Help Self Care	Int. J. Self. Help. Self. Care.
Homoeopathic herald	Homeopath Her	Homeopath. Her.
Africa journal of nursing and midwifery	Afr J Nurs Midwifery	Afr. J. Nurs. Midwifery.
Clinical orthodontics and research	Clin Orthod Res	Clin. Orthod. Res.
Vital and health statistics. Ser. 4, Documents and committee reports	Vital Health Stat 4	Vital. Health. Stat. 4.
Public opinion quarterly	Public Opin Q	Public. Opin. Q.
Emerging themes in epidemiology	Emerg Themes Epidemiol	Emerg. Themes. Epidemiol.
University of Leeds medical magazine	Univer Leeds Med Mag	Univer. Leeds. Med. Mag.
Proceedings of ... International Joint Conference on Neural Networks. International Joint Conference on Neural Networks	Proc Int Jt Conf Neural Netw	Proc. Int. Jt. Conf. Neural. Netw.
Clinical nursing practice in epilepsy	Clin Nurs Pract Epilepsy	Clin. Nurs. Pract. Epilepsy.
Proceedings of the Congress of C.M.F. Army Surgeons. Congress of C.M.F. Army Surgeons (1945 : Rome, Italy)	Proc Congress C M F Army Surg	Proc. Congress. C. M. F. Army. Surg.
European infectious disease	Eur Infect Dis	Eur. Infect. Dis.
Fuel (London, England)	Fuel (Lond)	Fuel. (Lond).
Boston University law review. Boston University. School of Law	Boston Univ Law Rev	Boston. Univ. Law. Rev.
International journal for numerical methods in biomedical engineering	Int J Numer Method Biomed Eng	Int. J. Numer. Method. Biomed. Eng.
Mutation research	Mutat Res	Mutat. Res.
Revista de medicina do Rio Grande do Sul	Rev Med Rio Gd Sul	Rev. Med. Rio. Gd. Sul.
Advances in cancer research	Adv Cancer Res	Adv. Cancer. Res.
Water quality, exposure, and health	Water Qual Expo Health	Water. Qual. Expo. Health.
The British orthoptic journal	Br Orthopt J	Br. Orthopt. J.
Optoelectronics letters	Optoelectron Lett	Optoelectron. Lett.
Journal of the American Physical Therapy Association	J Am Phys Ther Assoc	J. Am. Phys. Ther. Assoc.
Microbial & comparative genomics	Microb Comp Genomics	Microb. Comp. Genomics.
International journal of law, crime and justice	Int J Law Crime Justice	Int. J. Law. Crime. Justice.
Mississippi Dental Association journal	Miss Dent Assoc J	Miss. Dent. Assoc. J.
International journal of nephrology	Int J Nephrol	Int. J. Nephrol.
Revue francaise d'etudes cliniques et biologiques	Rev Fr Etud Clin Biol	Rev. Fr. Etud. Clin. Biol.
Choices in respiratory management	Choices Respir Manage	Choices. Respir. Manage.
Journal of rheology	J Rheol (N Y N Y)	J. Rheol. (N. Y. N. Y).
Ophthalmology international	Ophthalmol Int	Ophthalmol. Int.
Monatsschrift fur Unfallheilkunde und Versicherungsmedizin	Monatsschr Unfallheilkd Versicherungsmed	Monatsschr. Unfallheilkd. Versicherungsmed.
European journal of drug metabolism and pharmacokinetics	Eur J Drug Metab Pharmacokinet	Eur. J. Drug. Metab. Pharmacokinet.
Traffic injury prevention	Traffic Inj Prev	Traffic. Inj. Prev.
Advances in physiology education	Adv Physiol Educ	Adv. Physiol. Educ.
Monitor (Associates of Clinical Pharmacology)	Monitor (Assoc Clin Pharmacol)	Monitor. (Assoc. Clin. Pharmacol).
Journal of interaction science	J Interact Sci	J. Interact. Sci.
Current psychopharmacology	Curr Psychopharmacol	Curr. Psychopharmacol.
Uspekhi biologicheskoi khimii	Usp Biol Khim	Usp. Biol. Khim.
Luzifer-Amor : Zeitschrift zur Geschichte der Psychoanalyse	Luzif Amor	Luzif. Amor.
Boletin. Clinica Luis Razetti, Caracas. Laboratorio	Boletin Clin Luis Razetti Caracas	Boletin. Clin. Luis. Razetti. Caracas.
New Zealand geographer	N Z Geog	N. Z. Geog.
Revista paulista de medicina	Rev Paul Med	Rev. Paul. Med.
Mains'l haul	Mainsl Haul	Mainsl. Haul.
Urological survey	Urol Surv	Urol. Surv.
Skandinavisk veterinar-tidsskrift for bakteriologi, patologi, samt kjottoch mjolkhygienen	Skandinavisk Vet Tidsskr Bakteriol Patol Samt Kjottoch Mjokhygienen	Skandinavisk. Vet. Tidsskr. Bakteriol. Patol. Samt. Kjottoch. Mjokhygienen.
Bioengineered bugs	Bioeng Bugs	Bioeng. Bugs.
Annals of nuclear energy	Ann Nucl Energy	Ann. Nucl. Energy.
Cancer chemotherapy and pharmacology	Cancer Chemother Pharmacol	Cancer. Chemother. Pharmacol.
The Jerusalem quarterly	Jerusalem Q	Jerusalem. Q.
Brazilian journal of physical therapy	Braz J Phys Ther	Braz. J. Phys. Ther.
Poromechanics V : proceedings of the fifth Biot Conference on Poromechanics, July 10-12, 2013, Vienna, Austria. Biot Conference on Poromechanics (5th : 2013 : Vienna, Austria)	Poromechanics V (2013)	Poromechanics. V. (2013).
Journal of engineering psychology	J Eng Psychol	J. Eng. Psychol.
Comparative biochemistry and physiology. Toxicology & pharmacology : CBP	Comp Biochem Physiol C Toxicol Pharmacol	Comp. Biochem. Physiol. C. Toxicol. Pharmacol.
Agriculture and human values	Agric Human Values	Agric. Human. Values.
Perkins journal	Perkins J	Perkins. J.
Bulletin of epizootic diseases of Africa. Bulletin des epizooties en Afrique	Bull Epizoot Dis Afr	Bull. Epizoot. Dis. Afr.
World journal of emergency medicine	World J Emerg Med	World. J. Emerg. Med.
Northeastern naturalist	Northeast Nat (Steuben)	Northeast. Nat. (Steuben).
Biochemistry	Biochemistry	Biochemistry.
Journal of otology	J Otol	J. Otol.
An international journal on information fusion	Inf Fusion	Inf. Fusion.
Salisbury medical bulletin	Salisbury Med Bull	Salisbury. Med. Bull.
Anesthesiology	Anesthesiology	Anesthesiology.
Journal of child and adolescent behavior	J Child Adolesc Behav	J. Child. Adolesc. Behav.
Family planning today	Fam Plann Today	Fam. Plann. Today.
RF	RF	RF.
RN	RN	RN.
Journal of toxicology and environmental health. Part B, Critical reviews	J Toxicol Environ Health B Crit Rev	J. Toxicol. Environ. Health. B. Crit. Rev.
Reviews in infection	Rev Infect	Rev. Infect.
Journal of biomedical materials research. Part B, Applied biomaterials	J Biomed Mater Res B Appl Biomater	J. Biomed. Mater. Res. B. Appl. Biomater.
International journal of systems science	Int J Syst Sci	Int. J. Syst. Sci.
AJOB empirical bioethics	AJOB Empir Bioeth	AJOB. Empir. Bioeth.
International journal of research in nursing	Int J Res Nurs	Int. J. Res. Nurs.
Journal of writing research	J Writ Res	J. Writ. Res.
Mechanisms of development	Mech Dev	Mech. Dev.
The Russian review	Russ Rev	Russ. Rev.
Advances in cryogenic engineering	Adv Cryog Eng	Adv. Cryog. Eng.
Chirurgia (Bucharest, Romania : 1990)	Chirurgia (Bucur)	Chirurgia. (Bucur).
Skin	Skin (Los Angeles)	Skin. (Los. Angeles).
Advances in contraception : the official journal of the Society for the Advancement of Contraception	Adv Contracept	Adv. Contracept.
Youth & society	Youth Soc	Youth. Soc.
The Journal of British studies	J Br Stud	J. Br. Stud.
Journal for the scientific study of religion	J Sci Study Relig	J. Sci. Study. Relig.
The international journal of cardiovascular imaging	Int J Cardiovasc Imaging	Int. J. Cardiovasc. Imaging.
Tiroler Heimat	Tirol Heim	Tirol. Heim.
Pakistan journal of medical research	Pak J Med Res	Pak. J. Med. Res.
Canadian journal of psychology	Can J Psychol	Can. J. Psychol.
Luminescence : the journal of biological and chemical luminescence	Luminescence	Luminescence.
Journal of sleep research	J Sleep Res	J. Sleep. Res.
EURASIP journal on applied signal processing	EURASIP J Appl Signal Processing	EURASIP. J. Appl. Signal. Processing.
Journal of toxicologic pathology	J Toxicol Pathol	J. Toxicol. Pathol.
Second messengers and phosphoproteins	Second Messengers Phosphoproteins	Second. Messengers. Phosphoproteins.
Zhurnal voprosy neirokhirurgii imeni N. N. Burdenko	Zh Vopr Neirokhir Im N N Burdenko	Zh. Vopr. Neirokhir. Im. N. N. Burdenko.
Texas hospitals	Tex Hosp	Tex. Hosp.
Journal of computational science	J Comput Sci	J. Comput. Sci.
Indian medical journal	Indian Med J	Indian. Med. J.
Histopathology	Histopathology	Histopathology.
International journal of therapeutic massage & bodywork	Int J Ther Massage Bodywork	Int. J. Ther. Massage. Bodywork.
Birth and the family journal	Birth Fam J	Birth. Fam. J.
IET systems biology	IET Syst Biol	IET. Syst. Biol.
Nature chemistry	Nat Chem	Nat. Chem.
International journal of mental health nursing	Int J Ment Health Nurs	Int. J. Ment. Health. Nurs.
Medical library and historical journal	Med Library Hist J	Med. Library. Hist. J.
Bulletin of animal health and production in Africa. Bulletin des sante et production animales en Afrique	Bull Anim Health Prod Afr	Bull. Anim. Health. Prod. Afr.
Latin American population history bulletin	Lat Am Popul Hist Bull	Lat. Am. Popul. Hist. Bull.
Revue internationale de la Croix-rouge	Rev Int Croix Rouge	Rev. Int. Croix. Rouge.
Boletin de odontologia	Bol Odontol (Bogota)	Bol. Odontol. (Bogota).
Initiatives in population	Initiatives Popul	Initiatives. Popul.
Suicide	Suicide	Suicide.
The Journal of the Royal College of General Practitioners. Occasional paper	J R Coll Gen Pract Occas Pap	J. R. Coll. Gen. Pract. Occas. Pap.
Genome dynamics	Genome Dyn	Genome. Dyn.
Population trends	Popul Trends	Popul. Trends.
Journal of applied bioinformatics & computational biology	J Appl Bioinforma Comput Biol	J. Appl. Bioinforma. Comput. Biol.
Pulmonary pharmacology & therapeutics	Pulm Pharmacol Ther	Pulm. Pharmacol. Ther.
Journal of applied behavior analysis	J Appl Behav Anal	J. Appl. Behav. Anal.
International journal of cardiology. Heart & vasculature	Int J Cardiol Heart Vasc	Int. J. Cardiol. Heart. Vasc.
Medicine	Medicine (Baltimore)	Medicine. (Baltimore).
Medicina	Medicina	Medicina.
Expert opinion on therapeutic patents	Expert Opin Ther Pat	Expert. Opin. Ther. Pat.
Phytochemical analysis : PCA	Phytochem Anal	Phytochem. Anal.
Geriatric orthopaedic surgery & rehabilitation	Geriatr Orthop Surg Rehabil	Geriatr. Orthop. Surg. Rehabil.
ARKIVOC : free online journal of organic chemistry	ARKIVOC	ARKIVOC.
Advances in reproductive physiology	Adv Reprod Physiol	Adv. Reprod. Physiol.
Journal of occupational and environmental medicine	J Occup Environ Med	J. Occup. Environ. Med.
En familia (Santo Domingo, Dominican Republic)	Familia	Familia.
Acta medica Patavina	Acta Med Patav	Acta. Med. Patav.
Online journal of rural and urban research	Online J Rural Urban Res	Online. J. Rural. Urban. Res.
Progress in stem cell	Prog Stem Cell	Prog. Stem. Cell.
La chronique du CEPED	Chron CEPED	Chron. CEPED.
History of medicine	Hist Med	Hist. Med.
The Japanese journal of tuberculosis and chest diseases	Jpn J Tuberc Chest Dis	Jpn. J. Tuberc. Chest. Dis.
Medicina (Universidad de los Andes)	Med Bogota Colomb	Med. Bogota. Colomb.
Journal of chemometrics	J Chemom	J. Chemom.
The British journal of disorders of communication	Br J Disord Commun	Br. J. Disord. Commun.
The practising midwife	Pract Midwife	Pract. Midwife.
Journal of forensic and legal medicine	J Forensic Leg Med	J. Forensic. Leg. Med.
Journal of the Massachusetts Dental Society	J Mass Dent Soc	J. Mass. Dent. Soc.
Linguistics and philosophy	Linguist Philos	Linguist. Philos.
Midstream; a monthly Jewish review	Midstream (N Y)	Midstream. (N. Y).
Applied microbiology and biotechnology	Appl Microbiol Biotechnol	Appl. Microbiol. Biotechnol.
AAPM report	AAPM Rep	AAPM. Rep.
The Journal of wildlife management	J Wildl Manage	J. Wildl. Manage.
Georgian medical news	Georgian Med News	Georgian. Med. News.
Bulletin of the Los Angeles Dental Society	Bull Los Angeles Dent Soc	Bull. Los. Angeles. Dent. Soc.
Spermatogenesis	Spermatogenesis	Spermatogenesis.
The open vaccine journal	Open Vaccine J	Open. Vaccine. J.
Differentiation; research in biological diversity	Differentiation	Differentiation.
ARN journal : the official journal of the Association of Rehabilitation Nurses	ARN J	ARN. J.
Phronesis (Barcelona, Spain)	Phronesis	Phronesis.
Paediatrics and child health	Paediatr Child Health (Oxford)	Paediatr. Child. Health. (Oxford).
International journal of occupational and environmental health	Int J Occup Environ Health	Int. J. Occup. Environ. Health.
Seminars in surgical oncology	Semin Surg Oncol	Semin. Surg. Oncol.
Journal of educational administration and history	J Educ Adm Hist	J. Educ. Adm. Hist.
Veterinary journal (London, England : 1997)	Vet J	Vet. J.
The American journal of anesthesiology	Am J Anesthesiol	Am. J. Anesthesiol.
Contributions to sensory physiology	Contrib Sens Physiol	Contrib. Sens. Physiol.
American journal of media psychology	Am J Media Psychol	Am. J. Media. Psychol.
Family practice news	Fam Pract News	Fam. Pract. News.
Cancer cytopathology	Cancer Cytopathol	Cancer. Cytopathol.
Experimentelle Pathologie	Exp Pathol (Jena)	Exp. Pathol. (Jena).
Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses	J Perianesth Nurs	J. Perianesth. Nurs.
Dentistry 3000	Dent 3000	Dent. 3000.
Bulletin de la Societe d'etudes des Hautes-Alpes. Societe d'etudes des Hautes-Alpes	Bull Soc Etud His Alpes	Bull. Soc. Etud. His. Alpes.
Social policy report	Soc Policy Rep	Soc. Policy. Rep.
Translational gastrointestinal cancer	Transl Gastrointest Cancer	Transl. Gastrointest. Cancer.
Ethnologies	Ethnologies (Que)	Ethnologies. (Que).
Jewish quarterly review (Philadelphia, Pa.)	Jew Q Rev	Jew. Q. Rev.
Atti e memorie dell'Accademia toscana di scienze e lettere La Colombaria	Atti Mem Accad Toscana Sci Lett Colombaria	Atti. Mem. Accad. Toscana. Sci. Lett. Colombaria.
Experientia. Supplementum	Experientia Suppl	Experientia. Suppl.
Currents in pharmacy teaching & learning	Curr Pharm Teach Learn	Curr. Pharm. Teach. Learn.
Journal of fuel cell science and technology	J Fuel Cell Sci Technol	J. Fuel. Cell. Sci. Technol.
Annotated laws of Massachusetts : containing all the laws of Massachusetts of a general and permanent nature. Massachusetts	Annot Laws Mass	Annot. Laws. Mass.
Rinsho hoshasen. Clinical radiography	Rinsho Hoshasen	Rinsho. Hoshasen.
Chemioterapia : international journal of the Mediterranean Society of Chemotherapy	Chemioterapia	Chemioterapia.
Adolescence	Adolescence	Adolescence.
Pharmaceutica analytica acta	Pharm Anal Acta	Pharm. Anal. Acta.
Estudios de historia social y economica de America	Estud Hist Soc Econ Am	Estud. Hist. Soc. Econ. Am.
Revista de ciencias sociales	Rev Cienc Soc	Rev. Cienc. Soc.
Journal of musculoskeletal research	J Musculoskelet Res	J. Musculoskelet. Res.
Dental Mirror	Dent Mirror (Atlanta)	Dent. Mirror. (Atlanta).
Psychiatry (Abingdon, England)	Psychiatry (Abingdon)	Psychiatry. (Abingdon).
Modernism/modernity	Modmod (Baltim Md)	Modmod. (Baltim. Md).
Annales chirurgiae et gynaecologiae	Ann Chir Gynaecol	Ann. Chir. Gynaecol.
Advances in neuroscience (Hindawi)	Adv Neurosci (Hindawi)	Adv. Neurosci. (Hindawi).
Boletim do Instituto de Puericultura e Pediatria Martagao Gesteira	Bol Inst Pueric Martagao Gesteira	Bol. Inst. Pueric. Martagao. Gesteira.
MultiMedia Modeling : MMM ... : proceedings. International Conference on Multi-Media Modeling	Multimed Model	Multimed. Model.
Journal of economic growth (Boston, Mass.)	J Econ Growth (Boston)	J. Econ. Growth. (Boston).
Blatter fur Heimatkunde ...	BL Heimatkd	BL. Heimatkd.
Journal of experimental & theoretical artificial intelligence : JETAI	J Exp Theor Artif Intell	J. Exp. Theor. Artif. Intell.
Open access journal of clinical trials	Open Access J Clin Trials	Open. Access. J. Clin. Trials.
Annals of operations research	Ann Oper Res	Ann. Oper. Res.
La Revista medica de Yucatan	Rev Med Yucatan	Rev. Med. Yucatan.
Proceedings of the Japan Academy	Proc Jpn Acad	Proc. Jpn. Acad.
Autoimmune and infectious diseases : open access	Autoimmune Infect Dis	Autoimmune. Infect. Dis.
Food research	Food Res	Food. Res.
Boletin de la Asociacion Medica de Puerto Rico	Bol Asoc Med P R	Bol. Asoc. Med. P. R.
IBMS boneKEy	IBMS Bonekey	IBMS. Bonekey.
ACM transactions on computer-human interaction : a publication of the Association for Computing Machinery	ACM Trans Comput Hum Interact	ACM. Trans. Comput. Hum. Interact.
Tottel's journal of professional negligence	Tottels J Prof Neglig	Tottels. J. Prof. Neglig.
Transplantation proceedings	Transplant Proc	Transplant. Proc.
Oregon law review	Oregon Law Rev	Oregon. Law. Rev.
AJS; American journal of sociology	AJS	AJS.
Zeitschrift fur vergleichende Physiologie	Z Vgl Physiol	Z. Vgl. Physiol.
Annales de l'Institut Pasteur. Virology	Ann Inst Pasteur Virol	Ann. Inst. Pasteur. Virol.
Alternative & integrative medicine	Altern Integr Med	Altern. Integr. Med.
Special education: forward trends	Spec Educ Forward Trends	Spec. Educ. Forward. Trends.
The Journal of supercomputing	J Supercomput	J. Supercomput.
Studies in the Renaissance	Stud Renaissance	Stud. Renaissance.
Women's health weekly	Womens Health Wkly	Womens. Health. Wkly.
Journal of marketing for professions	J Mark Prof	J. Mark. Prof.
Journal of investigative and clinical dentistry	J Investig Clin Dent	J. Investig. Clin. Dent.
Journal of sensor technology	J Sens Technol	J. Sens. Technol.
Chronic illness	Chronic Illn	Chronic. Illn.
Nordisk hygienisk tidskrift	Nord Hyg Tidskr	Nord. Hyg. Tidskr.
Nagoya journal of medical science	Nagoya J Med Sci	Nagoya. J. Med. Sci.
Toxins	Toxins (Basel)	Toxins. (Basel).
McGill-Queen's/Hannah Institute studies in the history of medicine, health, and society	Mcgill Queens Hannah Inst Stud Hist Med Health Soc	Mcgill. Queens. Hannah. Inst. Stud. Hist. Med. Health. Soc.
Sprawozdania z czynnosci i posiedzen - Lodzkie Towarzystwo Naukowe	Spraw Czynnosci Posiedz Lodz Tow Nauk	Spraw. Czynnosci. Posiedz. Lodz. Tow. Nauk.
The Journal of sports medicine and physical fitness	J Sports Med Phys Fitness	J. Sports. Med. Phys. Fitness.
JAMA psychiatry	JAMA Psychiatry	JAMA. Psychiatry.
Journal of symptoms and signs	J Symptoms Signs	J. Symptoms. Signs.
The Washington University medical alumni quarterly	Wash Univ Med Alumni Q	Wash. Univ. Med. Alumni. Q.
Clinics in plastic surgery	Clin Plast Surg	Clin. Plast. Surg.
Clinical laboratory	Clin Lab	Clin. Lab.
Nursing times	Nurs Times	Nurs. Times.
Tuberculosis (Edinburgh, Scotland)	Tuberculosis (Edinb)	Tuberculosis. (Edinb).
Journal of progressive research in social sciences	J Progress Res Soc Sci	J. Progress. Res. Soc. Sci.
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association	Clin Gastroenterol Hepatol	Clin. Gastroenterol. Hepatol.
Actualites endocrinologiques	Actual Endocrinol (Paris)	Actual. Endocrinol. (Paris).
Phyton	Phyton (B Aires)	Phyton. (B. Aires).
The Australian and New Zealand journal of mental health nursing	Aust N Z J Ment Health Nurs	Aust. N. Z. J. Ment. Health. Nurs.
Archivio di psicologia, neurologia e psichiatria	Arch Psicol Neurol Psichiatr	Arch. Psicol. Neurol. Psichiatr.
Nephrology self-assessment program : NephSAP	Nephrol Self Assess Program	Nephrol. Self. Assess. Program.
Applied animal behaviour science	Appl Anim Behav Sci	Appl. Anim. Behav. Sci.
Afrique 2000 (Geneva, Switzerland)	Afrique 2000	Afrique. 2000.
PHC4 FYI	PHC4 FYI	PHC4. FYI.
Health trends	Health Trends	Health. Trends.
Journal of learning disabilities	J Learn Disabil	J. Learn. Disabil.
Atti. Universita di Palermo. Clinica oto-rino-laringoiatrica	Atti Clin Otorinolaringoitr Univ Palermo	Atti. Clin. Otorinolaringoitr. Univ. Palermo.
Progress in medical genetics	Prog Med Genet	Prog. Med. Genet.
Rassegna di neuropsichiatria e scienze affini	Rass Neuropsichiatr	Rass. Neuropsichiatr.
Postdoc journal : a journal of postdoctoral research and postdoctoral affairs	Postdoc J	Postdoc. J.
Zdravotnicke aktuality	Zdrav Aktual	Zdrav. Aktual.
Annales de l'Institut Pasteur. Immunology	Ann Inst Pasteur Immunol	Ann. Inst. Pasteur. Immunol.
Canadian bar journal	Can Bar J	Can. Bar. J.
Population reports (Washington, D.C.). Series D, Sterilization	Popul Rep D	Popul. Rep. D.
Sloan management review	Sloan Manage Rev	Sloan. Manage. Rev.
Postepy dermatologii i alergologii	Postepy Dermatol Alergol	Postepy. Dermatol. Alergol.
The Child	Child	Child.
Diseases (Basel, Switzerland)	Diseases	Diseases.
Pain	Pain	Pain.
Journal of drug delivery science and technology	J Drug Deliv Sci Technol	J. Drug. Deliv. Sci. Technol.
Patient accounts	Patient Acc	Patient. Acc.
The journals of gerontology. Series A, Biological sciences and medical sciences	J Gerontol A Biol Sci Med Sci	J. Gerontol. A. Biol. Sci. Med. Sci.
Molecular systems design & engineering	Mol Syst Des Eng	Mol. Syst. Des. Eng.
Journal of theoretical & computational chemistry	J Theor Comput Chem	J. Theor. Comput. Chem.
BoneKEy osteovision	Bonekey Osteovision	Bonekey. Osteovision.
Advances in social work	Adv Soc Work	Adv. Soc. Work.
Zdravookhranenie Kirgizii	Zdravookhr Kirg	Zdravookhr. Kirg.
San Gabriel Valley Dental Society bulletin	San Gabriel Val Dent Soc Bull	San. Gabriel. Val. Dent. Soc. Bull.
Revue de medecine de Tours	Rev Med Tours	Rev. Med. Tours.
Genetics & epigenetics	Genet Epigenet	Genet. Epigenet.
Clinical gerontologist	Clin Gerontol	Clin. Gerontol.
Current topics in experimental endocrinology	Curr Top Exp Endocrinol	Curr. Top. Exp. Endocrinol.
